date,opening,Enough,Day high,Day low,volume
01.03.2019,"13,160","13,130","13,160","13,130",-
2/28/2019,"13,060","12,980","13,060","12,980",-
2/27/2019,"13,280","13,220","13,290","13,220",-
2/26/2019,"13,370","13,360","13,370","13,340",-
2/25/2019,"13,460","13,440","13,460","13,440",-
2/22/2019,"13,200",13.21,13.21,"13,190",-
2/21/2019,"13,280","13,280","13,280","13,260",-
2/20/2019,"13,240","13,230","13,250","13,220",-
2/19/2019,"13,410","13,370","13,410","13,370",-
2/18/2019,"13,370","13,370","13,380","13,350",-
2/15/2019,"13,050","13,060","13,080","13,050",-
2/14/2019,"13,600","13,670","13,670","13,600",-
2/13/2019,13.74,13.77,13.77,13.73,-
2/12/2019,13.79,"13,750",13.79,"13,750",-
2/11/2019,"13,290","13,300","13,300","13,260",-
2/8/2019,"13,290","13,310","13,310","13,270",-
07.02.2019,"13,640","13,660","13,690",13.63,-
2/6/2019,13.76,13.77,13.78,"13,750",-
2/5/2019,13.77,"13,800","13,800",13.77,-
2/4/2019,13.73,13.72,13.73,"13,700",-
2/1/2019,"13,500","13,400","13,500","13,400",-
31/01/2019,13.74,13.77,13.78,13.74,-
1/30/2019,"13,480","13,450","13,480","13,450",-
1/29/2019,13.63,"13,640","13,640","13,600",-
1/28/2019,"13,700","13,680","13,700","13,680",-
1/25/2019,13.91,"13,820","13,920","13,820",-
1/24/2019,13.62,"13,680","13,700",13.62,-
1/23/2019,"13,380","13,370","13,410","13,370",-
1/22/2019,13.63,13.62,"13,640",13.62,-
1/21/2019,"13,940","13,950","13,950","13,930",-
18-Jan-19,"13,850","13,860","13,860","13,830",-
17-Jan-19,"13,870","13,860","13,890","13,860",-
16-Jan-19,"13,860","13,830","13,860","13,830",-
15-Jan-19,"13,820","13,920","13,920","13,810",-
1/14/2019,13.63,13.63,"13,660",13.63,-
11/1/2019,"13,550",13.61,13.61,"13,540",-
10/1/2019,"13,480","13,460","13,480","13,460",-
9/1/2019,"13,590","13,590","13,590","13,560",-
8/1/2019,"13,400","13,430","13,430","13,380",-
7/1/2019,"13,390","13,300","13,390","13,300",-
4/1/2019,"13,090","13,080","13,090","13,060",-
3/1/2019,13.77,"13,660",13.77,"13,660",-
2/1/2019,"13,360","13,500","13,500","13,360",-
28-Dec-18,"13,230","13,260","13,260","13,230",-
27-Dec-18,"13,300","13,300","13,310","13,300",-
21-Dec-18,"13,250","13,330","13,330","13,240",82
20-Dec-18,"13,660","13,680","13,680","13,600",-
19-Dec-18,14.13,"14,100",14.13,"14,100",-
18-Dec-18,14.14,14.11,14.14,14.11,-
17-Dec-18,14.36,14.39,14.39,14.36,-
14-Dec-18,14.11,14.19,14.19,14.11,-
13-Dec-18,"14,250",14.24,"14,250",14.23,-
12/12/2018,14.21,14.19,14.21,14.19,-
11-Dec-18,"13,970","13,990","13,990","13,960",-
10-Dec-18,"14,180",14.2,14.2,"14,170",-
07.12.2018,"14,280",14.27,"14,280",14.27,-
6-Dec-18,"14,430","14,440","14,440","14,430",-
05.12.2018,"14,490","14,450","14,490","14,450",-
04.12.2018,"14,870","14,930","14,930","14,870",-
03.12.2018,15.27,15.28,15.29,15.27,-
11/30/2018,"14,940",15.02,15.02,"14,940",-
11/29/2018,"14,900",14.89,14.91,14.89,-
11/28/2018,15.23,15.22,"15,250",15.22,-
11/27/2018,15.27,"15,300","15,300",15.27,-
11/26/2018,"14,870","14,840","14,870",14.83,-
